Module_id,Response_ID,Satisfaction,Age,Gender,Customer type,Travel type,Ticket type,Flight distance,Departure delay in minutes,Arrival delay in minutes,Flight schedule suitability,Booking service,Online checkin,Airport checkin,Baggage handling,Boarding service,Cabin crew service,Seat comfort,Food and drink,Inflight entertainment,Inflight wifi,Leg room,Inflight amenities quality,Cleanliness
20461,27353,satisfied,29,Male,Loyal,Business,Business,697,0,0,5,5,2,4,3,5,3,2,2,2,5,4,5,2
39192,6970,satisfied,55,Female,Loyal,Business,Business,1501,0,0,2,4,5,5,5,2,5,5,3,5,2,5,5,3
82556,60407,neutral or dissatisfied,52,Male,Loyal,Personal,Economy,1476,1,0,5,4,4,3,5,3,3,2,2,2,4,3,5,2
55565,60678,satisfied,55,Male,Loyal,Business,Business,1728,6,0,4,4,4,5,5,4,5,5,3,5,4,5,5,5
92507,20042,neutral or dissatisfied,22,Female,Discontinued,Business,Business,607,90,94,3,4,4,1,4,4,3,4,4,4,4,2,3,4
698,35611,neutral or dissatisfied,32,Male,Loyal,Personal,Economy Plus,1069,49,31,5,1,1,3,4,1,3,5,2,2,1,2,4,2
27347,25403,satisfied,43,Male,Loyal,Business,Economy,990,37,42,1,5,4,4,1,1,5,4,4,4,4,4,1,4
22056,29782,satisfied,26,Female,Loyal,Business,Business,571,204,185,1,1,5,5,4,1,2,5,5,5,1,4,1,5
52160,67191,neutral or dissatisfied,21,Female,Loyal,Personal,Economy,929,72,67,5,3,3,5,4,4,5,2,1,1,3,5,5,1
84417,35882,neutral or dissatisfied,58,Female,Loyal,Personal,Economy,937,106,102,3,4,3,4,3,3,3,3,1,3,3,4,3,3
73060,54397,neutral or dissatisfied,52,Male,Loyal,Business,Economy,305,0,0,5,5,3,2,3,5,4,4,4,4,3,2,3,4
38179,80757,neutral or dissatisfied,53,Male,Loyal,Business,Business,3891,0,7,4,4,3,4,1,4,1,4,3,1,1,1,1,2
99450,35167,neutral or dissatisfied,13,Female,Discontinued,Business,Economy,1144,0,12,3,3,3,4,4,3,2,4,4,4,3,1,3,4
7721,78165,satisfied,23,Female,Loyal,Business,Business,3208,14,25,4,4,4,5,4,4,5,5,4,4,4,2,5,4
25319,73747,neutral or dissatisfied,10,Female,Loyal,Personal,Economy,204,0,13,1,4,4,2,3,4,2,2,2,2,4,1,3,2
11475,50330,satisfied,43,Female,Loyal,Business,Economy,308,0,11,3,3,2,5,4,3,4,2,2,4,4,4,4,1
